"","site_name","species","scenario","IBI_fecundity","age_1st_rep","avg_lifespan","IBI","IBI_infant_mortality","IBI_adult_mortality","lat","long","site"
"1","ambinanindrano","Avahi laniger","best",0.5,"2",15,"1",0.36,0.155423294513332,-15.51361667,49.46308333,"1"
"2","ambodimanga","Avahi laniger","best",0.5,"2",15,"1",0.36,0.0410796607987697,-15.75591667,49.38168333,"2"
"3","anjiamazava","Avahi laniger","best",0.5,"2",15,"1",0.36,0.136489845731451,-15.19183333,49.53366667,"3"
"4","antaravato","Avahi laniger","best",0.5,"2",15,"1",0.36,0.706146379306466,-15.44931667,49.53898333,"4"
"5","behovana","Avahi laniger","best",0.5,"2",15,"1",0.36,0.00874451208230674,-15.7916,49.54536667,"5"
"6","mahitsiarongana","Avahi laniger","best",0.5,"2",15,"1",0.36,0.0499656055610347,-15.19943333,49.49925,"6"
"7","vinanibe","Avahi laniger","best",0.5,"2",15,"1",0.36,0.163413836720152,-15.47031667,49.47645,"7"
"8","ambinanindrano","Avahi laniger","worst",0.5,"3",15,"1",0.36,0.155423294513332,-15.51361667,49.46308333,"1"
"9","ambodimanga","Avahi laniger","worst",0.5,"3",15,"1",0.36,0.0410796607987697,-15.75591667,49.38168333,"2"
"10","anjiamazava","Avahi laniger","worst",0.5,"3",15,"1",0.36,0.136489845731451,-15.19183333,49.53366667,"3"
"11","antaravato","Avahi laniger","worst",0.5,"3",15,"1",0.36,0.706146379306466,-15.44931667,49.53898333,"4"
"12","behovana","Avahi laniger","worst",0.5,"3",15,"1",0.36,0.00874451208230674,-15.7916,49.54536667,"5"
"13","mahitsiarongana","Avahi laniger","worst",0.5,"3",15,"1",0.36,0.0499656055610347,-15.19943333,49.49925,"6"
"14","vinanibe","Avahi laniger","worst",0.5,"3",15,"1",0.36,0.163413836720152,-15.47031667,49.47645,"7"
"15","ambinanindrano","Cheirogaleus sp.","best",1,"1",13,"1",0.2,0.0553277449585824,-15.51361667,49.46308333,"1"
"16","ambodimanga","Cheirogaleus sp.","best",1,"1",13,"1",0.2,0.0896891263206452,-15.75591667,49.38168333,"2"
"17","anjiamazava","Cheirogaleus sp.","best",1,"1",13,"1",0.2,0.591633637267095,-15.19183333,49.53366667,"3"
"18","antaravato","Cheirogaleus sp.","best",1,"1",13,"1",0.2,0.733059019520654,-15.44931667,49.53898333,"4"
"19","behovana","Cheirogaleus sp.","best",1,"1",13,"1",0.2,0.0311463201284566,-15.7916,49.54536667,"5"
"20","mahitsiarongana","Cheirogaleus sp.","best",1,"1",13,"1",0.2,0.12175247329635,-15.19943333,49.49925,"6"
"21","vinanibe","Cheirogaleus sp.","best",1,"1",13,"1",0.2,0.133466770767515,-15.47031667,49.47645,"7"
"22","ambinanindrano","Cheirogaleus sp.","worst",1,"1",13,"1",0.2,0.0553277449585824,-15.51361667,49.46308333,"1"
"23","ambodimanga","Cheirogaleus sp.","worst",1,"1",13,"1",0.2,0.0896891263206452,-15.75591667,49.38168333,"2"
"24","anjiamazava","Cheirogaleus sp.","worst",1,"1",13,"1",0.2,0.591633637267095,-15.19183333,49.53366667,"3"
"25","antaravato","Cheirogaleus sp.","worst",1,"1",13,"1",0.2,0.733059019520654,-15.44931667,49.53898333,"4"
"26","behovana","Cheirogaleus sp.","worst",1,"1",13,"1",0.2,0.0311463201284566,-15.7916,49.54536667,"5"
"27","mahitsiarongana","Cheirogaleus sp.","worst",1,"1",13,"1",0.2,0.12175247329635,-15.19943333,49.49925,"6"
"28","vinanibe","Cheirogaleus sp.","worst",1,"1",13,"1",0.2,0.133466770767515,-15.47031667,49.47645,"7"
"29","ambinanindrano","Eulemur albifrons","best",1,"2",19,"1",0.231,0.155719627500359,-15.51361667,49.46308333,"1"
"30","ambodimanga","Eulemur albifrons","best",1,"2",19,"1",0.231,0.0711918766992397,-15.75591667,49.38168333,"2"
"31","anjiamazava","Eulemur albifrons","best",1,"2",19,"1",0.231,0.0458155075114648,-15.19183333,49.53366667,"3"
"32","antaravato","Eulemur albifrons","best",1,"2",19,"1",0.231,0.278946475341906,-15.44931667,49.53898333,"4"
"33","behovana","Eulemur albifrons","best",1,"2",19,"1",0.231,0.0192650201419217,-15.7916,49.54536667,"5"
"34","mahitsiarongana","Eulemur albifrons","best",1,"2",19,"1",0.231,0.0101223421214045,-15.19943333,49.49925,"6"
"35","vinanibe","Eulemur albifrons","best",1,"2",19,"1",0.231,0.120848762604663,-15.47031667,49.47645,"7"
"36","ambinanindrano","Eulemur albifrons","worst",0.5,"3",19,"1",0.231,0.155719627500359,-15.51361667,49.46308333,"1"
"37","ambodimanga","Eulemur albifrons","worst",0.5,"3",19,"1",0.231,0.0711918766992397,-15.75591667,49.38168333,"2"
"38","anjiamazava","Eulemur albifrons","worst",0.5,"3",19,"1",0.231,0.0458155075114648,-15.19183333,49.53366667,"3"
"39","antaravato","Eulemur albifrons","worst",0.5,"3",19,"1",0.231,0.278946475341906,-15.44931667,49.53898333,"4"
"40","behovana","Eulemur albifrons","worst",0.5,"3",19,"1",0.231,0.0192650201419217,-15.7916,49.54536667,"5"
"41","mahitsiarongana","Eulemur albifrons","worst",0.5,"3",19,"1",0.231,0.0101223421214045,-15.19943333,49.49925,"6"
"42","vinanibe","Eulemur albifrons","worst",0.5,"3",19,"1",0.231,0.120848762604663,-15.47031667,49.47645,"7"
"43","ambinanindrano","Hapalemur griseus","best",0.5,"1",9,"1",0.67,0.61741950649679,-15.51361667,49.46308333,"1"
"44","ambodimanga","Hapalemur griseus","best",0.5,"1",9,"1",0.67,0.532754516005895,-15.75591667,49.38168333,"2"
"45","anjiamazava","Hapalemur griseus","best",0.5,"1",9,"1",0.67,0.0835813760286828,-15.19183333,49.53366667,"3"
"46","antaravato","Hapalemur griseus","best",0.5,"1",9,"1",0.67,1,-15.44931667,49.53898333,"4"
"47","behovana","Hapalemur griseus","best",0.5,"1",9,"1",0.67,0.0611297850097587,-15.7916,49.54536667,"5"
"48","mahitsiarongana","Hapalemur griseus","best",0.5,"1",9,"1",0.67,0.0186606542468707,-15.19943333,49.49925,"6"
"49","vinanibe","Hapalemur griseus","best",0.5,"1",9,"1",0.67,0.550804272977248,-15.47031667,49.47645,"7"
"50","ambinanindrano","Hapalemur griseus","worst",0.5,"3",9,"1",0.67,0.61741950649679,-15.51361667,49.46308333,"1"
"51","ambodimanga","Hapalemur griseus","worst",0.5,"3",9,"1",0.67,0.532754516005895,-15.75591667,49.38168333,"2"
"52","anjiamazava","Hapalemur griseus","worst",0.5,"3",9,"1",0.67,0.0835813760286828,-15.19183333,49.53366667,"3"
"53","antaravato","Hapalemur griseus","worst",0.5,"3",9,"1",0.67,1,-15.44931667,49.53898333,"4"
"54","behovana","Hapalemur griseus","worst",0.5,"3",9,"1",0.67,0.0611297850097587,-15.7916,49.54536667,"5"
"55","mahitsiarongana","Hapalemur griseus","worst",0.5,"3",9,"1",0.67,0.0186606542468707,-15.19943333,49.49925,"6"
"56","vinanibe","Hapalemur griseus","worst",0.5,"3",9,"1",0.67,0.550804272977248,-15.47031667,49.47645,"7"
"57","ambinanindrano","Indri indri","best",0.5,"6",19,"3",0.36,1,-15.51361667,49.46308333,"1"
"58","ambodimanga","Indri indri","best",0.5,"6",19,"3",0.36,1,-15.75591667,49.38168333,"2"
"59","anjiamazava","Indri indri","best",0.5,"6",19,"3",0.36,0.046481410244892,-15.19183333,49.53366667,"3"
"60","antaravato","Indri indri","best",0.5,"6",19,"3",0.36,1,-15.44931667,49.53898333,"4"
"61","behovana","Indri indri","best",0.5,"6",19,"3",0.36,1,-15.7916,49.54536667,"5"
"62","mahitsiarongana","Indri indri","best",0.5,"6",19,"3",0.36,1,-15.19943333,49.49925,"6"
"63","vinanibe","Indri indri","best",0.5,"6",19,"3",0.36,1,-15.47031667,49.47645,"7"
"64","ambinanindrano","Indri indri","worst",0.5,"9",19,"3",0.36,1,-15.51361667,49.46308333,"1"
"65","ambodimanga","Indri indri","worst",0.5,"9",19,"3",0.36,1,-15.75591667,49.38168333,"2"
"66","anjiamazava","Indri indri","worst",0.5,"9",19,"3",0.36,0.046481410244892,-15.19183333,49.53366667,"3"
"67","antaravato","Indri indri","worst",0.5,"9",19,"3",0.36,1,-15.44931667,49.53898333,"4"
"68","behovana","Indri indri","worst",0.5,"9",19,"3",0.36,1,-15.7916,49.54536667,"5"
"69","mahitsiarongana","Indri indri","worst",0.5,"9",19,"3",0.36,1,-15.19943333,49.49925,"6"
"70","vinanibe","Indri indri","worst",0.5,"9",19,"3",0.36,1,-15.47031667,49.47645,"7"
"71","ambinanindrano","Microcebus sp.","best",1.5,"1",7,"1",0.67,0.0554857886105699,-15.51361667,49.46308333,"1"
"72","ambodimanga","Microcebus sp.","best",1.5,"1",7,"1",0.67,0.0178951157502961,-15.75591667,49.38168333,"2"
"73","antaravato","Microcebus sp.","best",1.5,"1",7,"1",0.67,0.289745072512386,-15.44931667,49.53898333,"4"
"74","behovana","Microcebus sp.","best",1.5,"1",7,"1",0.67,0.0043920681877893,-15.7916,49.54536667,"5"
"75","vinanibe","Microcebus sp.","best",1.5,"1",7,"1",0.67,0.145412840431,-15.47031667,49.47645,"7"
"76","ambinanindrano","Microcebus sp.","worst",1,"1",7,"1",0.67,0.0554857886105699,-15.51361667,49.46308333,"1"
"77","ambodimanga","Microcebus sp.","worst",1,"1",7,"1",0.67,0.0178951157502961,-15.75591667,49.38168333,"2"
"78","antaravato","Microcebus sp.","worst",1,"1",7,"1",0.67,0.289745072512386,-15.44931667,49.53898333,"4"
"79","behovana","Microcebus sp.","worst",1,"1",7,"1",0.67,0.0043920681877893,-15.7916,49.54536667,"5"
"80","vinanibe","Microcebus sp.","worst",1,"1",7,"1",0.67,0.145412840431,-15.47031667,49.47645,"7"
"81","ambinanindrano","Varecia variegata","best",1,"2",13,"2",0.318,0.0626686466919612,-15.51361667,49.46308333,"1"
"82","ambodimanga","Varecia variegata","best",1,"2",13,"2",0.318,0.0920326497658093,-15.75591667,49.38168333,"2"
"83","anjiamazava","Varecia variegata","best",1,"2",13,"2",0.318,0.0261764645995911,-15.19183333,49.53366667,"3"
"84","antaravato","Varecia variegata","best",1,"2",13,"2",0.318,1,-15.44931667,49.53898333,"4"
"85","behovana","Varecia variegata","best",1,"2",13,"2",0.318,1,-15.7916,49.54536667,"5"
"86","mahitsiarongana","Varecia variegata","best",1,"2",13,"2",0.318,0.00430642242865302,-15.19943333,49.49925,"6"
"87","vinanibe","Varecia variegata","best",1,"2",13,"2",0.318,1,-15.47031667,49.47645,"7"
"88","ambinanindrano","Varecia variegata","worst",1,"4",13,"2",0.318,0.0626686466919612,-15.51361667,49.46308333,"1"
"89","ambodimanga","Varecia variegata","worst",1,"4",13,"2",0.318,0.0920326497658093,-15.75591667,49.38168333,"2"
"90","anjiamazava","Varecia variegata","worst",1,"4",13,"2",0.318,0.0261764645995911,-15.19183333,49.53366667,"3"
"91","antaravato","Varecia variegata","worst",1,"4",13,"2",0.318,1,-15.44931667,49.53898333,"4"
"92","behovana","Varecia variegata","worst",1,"4",13,"2",0.318,1,-15.7916,49.54536667,"5"
"93","mahitsiarongana","Varecia variegata","worst",1,"4",13,"2",0.318,0.00430642242865302,-15.19943333,49.49925,"6"
"94","vinanibe","Varecia variegata","worst",1,"4",13,"2",0.318,1,-15.47031667,49.47645,"7"
