model,sim_type,grid_size,num_patch,avg_init_pop,avg_extinct_time
3,TT,100,64,12550,0
1,FF,100,64,9796,0.076923077
1,FF,100,64,59236,0.192307692
1,FF,100,64,159200,0.192307692
1,FT,100,64,9076,0
1,FT,100,64,63772,0
1,FT,100,64,158056,0
1,TF,100,64,10448,0
1,TF,100,64,61956,0
1,TF,100,64,160284,0
1,TT,100,64,9428,0
1,TT,100,64,309620,0
1,TT,100,64,63432,0
1,TT,100,64,155712,0
2,FF,100,64,10545,0.038461538
2,FF,100,64,75755,0.192307692
2,FF,100,64,199935,0.192307692
2,FF,100,64,384885,0.192307692
2,FF,100,64,1299020,0.230769231
2,FF,100,64,1964520,0.384615385
2,FF,100,64,3887810,0.423076923
2,FT,100,64,11035,0
2,FT,100,64,75715,0
2,FT,100,64,198700,0
2,FT,100,64,385620,0
2,FT,100,64,1299155,0
2,FT,100,64,1995145,0
2,FT,100,64,3742080,0
2,TF,100,64,11805,0
2,TF,100,64,80890,0
2,TF,100,64,197955,0
2,TF,100,64,383645,0
2,TF,100,64,1337830,0
2,TF,100,64,1990345,0
2,TF,100,64,3834435,0
2,TT,100,64,11610,0
2,TT,100,64,77060,0
2,TT,100,64,196565,0
2,TT,100,64,393565,0
2,TT,100,64,1333135,0
2,TT,100,64,1988200,0
2,TT,100,64,3887045,0
3,FF,100,16,2580,0.038461538
3,FF,100,16,1007735,20
3,FF,100,16,97885,7.384615385
3,FF,100,16,20065,1.230769231
3,FF,100,16,323245,20
3,FF,100,16,499660,20
3,FF,100,16,51095,2.538461538
3,FT,100,16,2605,0
3,FT,100,16,938315,0
3,FT,100,16,98550,0
3,FT,100,16,18925,0
3,FT,100,16,330405,0
3,FT,100,16,484715,0
3,FT,100,16,49045,0
3,TF,100,16,2820,0.115384615
3,TF,100,16,970860,13.23076923
3,TF,100,16,95775,1.769230769
3,TF,100,16,19385,0.730769231
3,TF,100,16,330455,5.038461538
3,TF,100,16,479780,6.692307692
3,TF,100,16,48690,1.307692308
3,TT,100,16,3675,0
3,TT,100,16,979470,15.34615385
3,TT,100,16,96300,1.961538462
3,TT,100,16,17705,0.538461538
3,TT,100,16,314485,4.730769231
3,TT,100,16,495360,7.307692308
3,TT,100,16,50100,0.961538462
1,FF,100,16,1996,0
1,FF,100,16,767532,0.346153846
1,FF,100,16,75516,0.192307692
1,FF,100,16,16812,0.192307692
1,FF,100,16,265852,0.269230769
1,FF,100,16,399452,0.5
1,FF,100,16,39820,0.269230769
1,FT,100,16,2772,0
1,FT,100,16,757492,0
1,FT,100,16,80440,0
1,FT,100,16,16472,0
1,FT,100,16,255500,0
1,FT,100,16,386600,0
1,FT,100,16,38064,0
1,TF,100,16,2116,0
1,TF,100,16,747288,0
1,TF,100,16,74956,0
1,TF,100,16,13000,0
1,TF,100,16,259272,0
1,TF,100,16,398996,0
1,TF,100,16,39636,0
1,TT,100,16,1944,0
1,TT,100,16,780404,0
1,TT,100,16,78372,0
1,TT,100,16,15456,0
1,TT,100,16,251620,0
1,TT,100,16,395332,0
1,TT,100,16,39244,0
2,FF,100,16,3405,0.115384615
2,FF,100,16,18030,0.269230769
2,FF,100,16,48385,0.230769231
2,FF,100,16,96775,0.269230769
2,FF,100,16,316300,0.230769231
2,FF,100,16,477415,0.269230769
2,FF,100,16,912620,0.346153846
2,FT,100,16,3620,0
2,FT,100,16,21785,0
2,FT,100,16,49330,0
2,FT,100,16,99920,0
2,FT,100,16,336645,0
2,FT,100,16,497960,0
2,FT,100,16,931600,0
2,TF,100,16,2350,0
2,TF,100,16,20410,0
2,TF,100,16,49890,0
2,TF,100,16,100550,0
2,TF,100,16,329145,0
2,TF,100,16,503515,0
2,TF,100,16,954290,0
2,TT,100,16,2670,0
2,TT,100,16,18175,0
2,TT,100,16,48700,0
2,TT,100,16,97260,0
2,TT,100,16,322225,0
2,TT,100,16,493515,0
2,TT,100,16,1030825,0
3,FF,100,4,510,0.038461538
3,FF,100,4,268325,20
3,FF,100,4,28225,5.923076923
3,FF,100,4,3925,1.384615385
3,FF,100,4,94410,20
3,FF,100,4,125945,20
3,FF,100,4,14140,2.346153846
3,FT,100,4,430,0
3,FT,100,4,249185,0
3,FT,100,4,26590,0
3,FT,100,4,4185,0
3,FT,100,4,91700,0
3,FT,100,4,135020,0
3,FT,100,4,12765,0
3,TF,100,4,915,0
3,TF,100,4,279920,12.34615385
3,TF,100,4,26110,1.884615385
3,TF,100,4,6620,0.961538462
3,TF,100,4,91395,4.192307692
3,TF,100,4,135225,5.846153846
3,TF,100,4,13290,1.192307692
3,TT,100,4,780,0
3,TT,100,4,242835,20
3,TT,100,4,25815,1.961538462
3,TT,100,4,5195,0.692307692
3,TT,100,4,87320,3.923076923
3,TT,100,4,129810,6.807692308
3,TT,100,4,13490,1.230769231
1,FF,100,4,564,0.038461538
1,FF,100,4,224608,0.384615385
1,FF,100,4,20116,0.230769231
1,FF,100,4,4524,0.307692308
1,FF,100,4,67460,0.423076923
1,FF,100,4,109396,0.576923077
1,FF,100,4,10584,0.230769231
1,FT,100,4,724,0
1,FT,100,4,211064,0
1,FT,100,4,22340,0
1,FT,100,4,4608,0
1,FT,100,4,74364,0
1,FT,100,4,106484,0
1,FT,100,4,10896,0
1,TF,100,4,456,0
1,TF,100,4,201980,0
1,TF,100,4,22340,0
1,TF,100,4,4176,0
1,TF,100,4,67920,0
1,TF,100,4,108568,0
1,TF,100,4,10384,0
1,TT,100,4,624,0
1,TT,100,4,198700,0
1,TT,100,4,20492,0
1,TT,100,4,5584,0
1,TT,100,4,76868,0
1,TT,100,4,104936,0
1,TT,100,4,10704,0
2,FF,100,4,1205,0.076923077
2,FF,100,4,5635,0.153846154
2,FF,100,4,13240,0.269230769
2,FF,100,4,28235,0.192307692
2,FF,100,4,103400,0.269230769
2,FF,100,4,131535,0.384615385
2,FF,100,4,259840,0.346153846
2,FT,100,4,880,0
2,FT,100,4,5070,0
2,FT,100,4,13390,0
2,FT,100,4,27340,0
2,FT,100,4,96770,0
2,FT,100,4,136980,0
2,FT,100,4,265425,0
2,TF,100,4,1125,0
2,TF,100,4,4070,0
2,TF,100,4,14210,0
2,TF,100,4,27915,0
2,TF,100,4,91480,0
2,TF,100,4,137695,0
2,TF,100,4,265000,0
2,TT,100,4,780,0
2,TT,100,4,5735,0
2,TT,100,4,13255,0
2,TT,100,4,27005,0
2,TT,100,4,83245,0
2,TT,100,4,128505,0
2,TT,100,4,253910,0